"state","city_name","date","new_cases","city_cod","state_cod","count"
"RJ","Barra Mansa","2020-03-05",1,"3300407","33",1
"RJ","Rio de Janeiro","2020-03-06",1,"3304557","33",1
"RJ","Rio de Janeiro","2020-03-08",1,"3304557","33",2
"RJ","Rio de Janeiro","2020-03-09",5,"3304557","33",7
"RJ","Niterói","2020-03-09",1,"3303302","33",1
"RJ","Rio de Janeiro","2020-03-11",3,"3304557","33",10
"RJ","Rio de Janeiro","2020-03-12",4,"3304557","33",14
"RJ","Rio de Janeiro","2020-03-13",3,"3304557","33",17
"RJ","Rio de Janeiro","2020-03-14",5,"3304557","33",22
"RJ","Rio de Janeiro","2020-03-16",7,"3304557","33",29
"RJ","Rio de Janeiro","2020-03-17",2,"3304557","33",31
"RJ","Rio de Janeiro","2020-03-18",24,"3304557","33",55
"RJ","Guapimirim","2020-03-18",1,"3301850","33",1
"RJ","Niterói","2020-03-18",5,"3303302","33",6
"RJ","Rio de Janeiro","2020-03-19",1,"3304557","33",56
"RJ","Miguel Pereira","2020-03-19",1,"3302908","33",1
"RJ","Niterói","2020-03-19",1,"3303302","33",7
"RJ","Não informado","2020-03-20",2,"None","None",2
"RJ","Niterói","2020-03-20",3,"3303302","33",10
"RJ","Petrópolis","2020-03-20",2,"3303906","33",2
"RJ","Rio de Janeiro","2020-03-20",36,"3304557","33",92
"RJ","Rio de Janeiro","2020-03-21",9,"3304557","33",101
"RJ","Petrópolis","2020-03-21",1,"3303906","33",3
"RJ","Rio de Janeiro","2020-03-22",67,"3304557","33",168
"RJ","São Gonçalo","2020-03-23",3,"3304904","33",3
"RJ","Rio de Janeiro","2020-03-23",44,"3304557","33",212
"RJ","Niterói","2020-03-24",2,"3303302","33",12
"RJ","Volta Redonda","2020-03-24",4,"3306305","33",4
"RJ","Campos dos Goytacazes","2020-03-24",1,"3301009","33",1
"RJ","Duque de Caxias","2020-03-24",1,"3301702","33",1
"RJ","Rio de Janeiro","2020-03-24",64,"3304557","33",276
"RJ","Rio de Janeiro","2020-03-25",53,"3304557","33",329
"RJ","Duque de Caxias","2020-03-25",1,"3301702","33",2
"RJ","Niterói","2020-03-25",7,"3303302","33",19
"RJ","Volta Redonda","2020-03-25",2,"3306305","33",6
"RJ","Resende","2020-03-25",1,"3304201","33",1
"RJ","Valença","2020-03-25",1,"3306107","33",1
